AAMYNA aamina
AARVN aaron
ABA aba
ABAD abad
ABADHBY abudhabi
ABAR aabar
ABCR abcher
ABDLRHMAN abdalrahman
ABDVN ebdon
ABH abe
ABHAY abhay
ABHY abhay
ABL abel
ABL abel
ABLTJ abeltje
ABLY abley
ABND abend
ABNR abner
'ABR aabar
ABRAHAM abraham
ABRAM abram
ABRAMSVN abramson
ABRAPT abrupt
ABRG aberg
ABRG aberg
ABRKRVMBY abercrombie
ABRMSKY obremski
ABRY abery
ABRY abery
ABSTGARTN obstgarten
ABST obst
ABSTRKT abstract
ABTYN abtine
ABVBA aboba
ABVDHABY abudhabi
ABVLYN abolin
ABVT abbot
ABVT abbot
ABVTSMYT abbotsmith
ABYA abia
ABYAB abiab
ABY abby
ABY abby
ABYAD abiad
ABYAN abyan
ABY abby
ABYL abel
ABYNA ebina
ACRNAR achernar
ADAB adab
ADAM adam
ADAMV adamo
ADANA adana
ADAN adan
ADARA edara
ADB adab
ADBRG edberg
ADGRYNGLND adgeringelant
ADGRYNGLNT adgeringelant
ADGYNGTVN edgington
ADH ade
ADKYNZ adkins
ADLA adela
ADL adel
ADLARDV adelardo
ADLHYD adelheid
ADLMA adalma
ADL adel
ADLR adler
ADLSVN adelson
ADMVNDS edmonds
ADMVNDZ edmonds
ADMYRALN admiralen
ADMYRALZ admirals
ADMYSTVN edmiston
ADNAMS adnams
ADNAMZ adnams
ADRY adri
ADRY adri
ADRYANA adriana
ADRYNY adriene
ADRYNY adriene
ADRYS idris
ADSAL edsall
ADVARD edvard
ADVARD edvard
ADVLFSVN adolfsson
ADVNYS adonis
ADVSVMALY adusumalli
ADVVART eduwart
ADY addy
ADY eady
ADY addy
ADY eady
ADY addy
ADY eady
ADY addy
ADY eady
ADY addy
ADY eady
ADYH adie
ADYK adik
'ADYL adil
ADYL adil
ADYNA adina
ADYNGTVN addington
ADYNGTVN addington
ADYSAK adisak
ADYT adit
AFA afa
AFAF afaf
AFRA afra
AFTAB aftab
AFYF afif
AFZAL afzal
AFZL afzal
AGALY agali
AGAS agass
AGATY agate
AGBRN ogborn
AGBVRN ogborn
AGPYAN agopian
AGRAVALA agrawala
AGRN agren
AGRYNGLANT adgeringelant
AGVR augor
AGVSTV augusto
AGVSTYN augustyn
AGVSTYNY agostini
AGVYRV aguero
AGVYV agoyo
AGYLA aqila
AGYL aqil
AGYNST against
AHLAND ohlund
AHMN ohman
AHRN ahern
AJAST ojaste
AJAY ajay
AKA aka
AK ack
AKADMY academy
AKADMYK akademik
AKAPADY accapadi
AKBRG ekberg
AKDAG akdag
AK ack
AKGAN akgun
AKL akl
AKLVF eklof
AKMAN akman
AKMANDNSYS ekmundensis
AKMAN akman
AKMVNDNSYS ekmundensis
AK ack
AKRSLATV ekerslato
AKRSLYTV ekerslato
AKRVYD ackroyd
AKRYL akrill
AKSFRD axford
AKSFVRD axford
AKSFVRD axford
AKSTRND ekstrand
AKSV aksu
AKTVN acton
AKTVN acton
AKTYV active
AKVNA acuna
AKVSTA acosta
AKY aki
AKY aki
AKYHYKV akihiko
AKYLA akilah
AKYLA aqila
AKYLA akilah
AKYLA aqila
AKYLAH akilah
AKYL akil
AKYL akil
AKYLH akilah
AKYM akeem
AKYN akin
AKYTVMV akitomo
AL'ADYN alaaldin
